brand,currency,price,colors,name,sizes,categories
unbranded,usd,5.99,"white,yellow,red,purple,black,pink,orange,green,brown,blue,grey",men boxer underwear shorts modal male underpants sexy briefs undies trunks m-xxl,8,"clothing, shoes & accessories,men's clothing,underwear"
puma,usd,86.98,brown,puma x rise blaze of glory   round toe leather  sneakers,"10,10.5,11,11.5,12,13,8,8.5,9,9.5","clothing,shoes,men's shoes,all men's shoes"
puma,usd,149,black,puma x rise blaze of glory   round toe leather  sneakers,"10,10.5,11,11.5,12,13,8,8.5,9,9.5","clothing,shoes,men's shoes,all men's shoes"
filament,usd,63,beige,filament metric men  round toe suede  skate shoe,7,"all men's shoes,shoes,men's shoes,clothing"
filament,usd,13.99,beige,filament metric men  round toe suede  skate shoe,7,"all men's shoes,shoes,men's shoes,clothing"
filament,usd,23.99,beige,filament metric men  round toe suede  skate shoe,7,"all men's shoes,shoes,men's shoes,clothing"
adidas,usd,39.99,greenblack,"b32846 adidas ace 15.3 fg/ag mens soccer cleats boot football shoes, men's sz:10",10,"clothing, shoes & accessories,team sports,men,soccer,shoes & cleats,sporting goods"
dr. martens,usd,125,"black,bark",dr. martens men resistor steel toe boots 12 uk / 13 us m us,5,"all men's shoes,shoes,men's shoes,clothing"
dr. martens,usd,125,"black,bark",dr. martens men resistor steel toe boots 12 uk / 13 us m us,4,"all men's shoes,shoes,men's shoes,clothing"
dr. martens,usd,132.5,"black,bark",dr. martens men resistor steel toe boots 12 uk / 13 us m us,9,"all men's shoes,shoes,men's shoes,clothing"
lanvin,usd,151.99,pink,lanvin matt crack calfskin low top sneaker men  round toe leather  sneakers,8,"men's casual shoes,shoes,men's shoes,clothing"
lanvin,usd,445,pink,lanvin matt crack calfskin low top sneaker men  round toe leather  sneakers,8,"men's casual shoes,shoes,men's shoes,clothing"
realtree,usd,18.99,camouflage,realtree mens camouflage loafer moccasin slippers,10,"all men's shoes,shoes,men's shoes,clothing"
realtree,usd,24.8,camouflage,realtree mens camouflage loafer moccasin slippers,6,"all men's shoes,shoes,men's shoes,clothing"
lencca,usd,86,multi,lencca alpaque crossover laptop backpack fits aspire s7 13.3 inch laptops (all models),3,"luggage & bags,juniors messenger bags & backpacks,home,backpacks & bags,travel bags,bags & accessories,men's bags,juniors accessories,office supplies,school supplies,backpacks,men's accessories,clothing, shoes & jewelry"
thorogood,usd,125,brown,thorogood boots: men's steel toe 804-4364 american heritage work boots size10d,10,"clothing, shoes & accessories,men's shoes,boots,see more thorogood mens classics brown leather eh safet..."
dc,usd,54.93,"black black,dark chocolate oxblood,navy grey,taupe stone",dc  men tonik lace up sneakers,10,"clothing,shoes,men's shoes,all men's shoes"
kenneth cole,usd,88,grey,kenneth cole men's gone 4 good navy ankle-high leather walking shoe - 7.5m,12,"all men's shoes,shoes,men's shoes,clothing"
kenneth cole,usd,49.35,brown,kenneth cole men's gone 4 good navy ankle-high leather walking shoe - 7.5m,11,"all men's shoes,shoes,men's shoes,clothing"
kenneth cole,usd,49.36,grey,kenneth cole men's gone 4 good navy ankle-high leather walking shoe - 7.5m,12,"all men's shoes,shoes,men's shoes,clothing"
kenneth cole,usd,49.83,beige,kenneth cole men's gone 4 good navy ankle-high leather walking shoe - 7.5m,6,"all men's shoes,shoes,men's shoes,clothing"
kenneth cole,usd,49.33,brown,kenneth cole men's gone 4 good navy ankle-high leather walking shoe - 7.5m,11,"all men's shoes,shoes,men's shoes,clothing"
nike,usd,74.99,red,nike men's fs lite run 3 running sneakers from finish line,7,"slp,finish line athletic shoes,men,nike sneakers,shoes"
global glove,usd,328.61,beige,global glove s966-lt latex on medium weight coated economy grade string knit tagged glove work large (case of 240),4,"workwear & uniforms,men's workwear & uniforms,men's coveralls,clothing, shoes & jewelry,clothing,men's clothing"
nike,usd,39.95,black,nike jordan 1 mid,4,"all men's shoes,shoes,men's shoes,clothing"
stacy adams,usd,24.99,red,stacy adams kendrick men  round toe leather  oxford,10.5,"clothing,shoes,men's shoes,men's dress shoes"
stacy adams,usd,90,green,stacy adams kendrick men  round toe leather  oxford,10.5,"clothing,shoes,men's shoes,men's dress shoes"
stacy adams,usd,25.99,red,stacy adams kendrick men  round toe leather  oxford,10.5,"clothing,shoes,men's shoes,men's dress shoes"
cole haan,usd,69.99,"milkshake,denim",cole haan grover men's oxford dress shoes perforated suede,9,"men's dress shoes,shoes,men's shoes,clothing"
cole haan,usd,198,"milkshake,denim",cole haan grover men's oxford dress shoes perforated suede,12,"men's dress shoes,shoes,men's shoes,clothing"
cole haan,usd,59.99,"milkshake,denim",cole haan grover men's oxford dress shoes perforated suede,6,"men's dress shoes,shoes,men's shoes,clothing"
prada,aud,262,havana,prada pr22ms 2au6s1 havana frame brown gradient lens,4,"clothing, shoes, accessories,men's sunglasses,women's sunglasses"
prada,aud,299.95,havana,prada pr22ms 2au6s1 havana frame brown gradient lens,6,"clothing, shoes, accessories,men's sunglasses,women's sunglasses"
prada,aud,219.95,havana,prada pr22ms 2au6s1 havana frame brown gradient lens,10,"clothing, shoes, accessories,men's sunglasses,women's sunglasses"
nike,usd,60,"green,poison greenhyper blue",nike free trainer 3.0 (poison green) men's running shoes 12,12,"clothing, shoes & accessories,men's shoes,athletic,men"
nike,usd,65,"green,poison greenhyper blue",nike free trainer 3.0 (poison green) men's running shoes 12,12,"clothing, shoes & accessories,men's shoes,athletic,men"
nike,usd,109.99,"green,poison greenhyper blue",nike free trainer 3.0 (poison green) men's running shoes 12,12,"clothing, shoes & accessories,men's shoes,athletic,men"
pakems,usd,49.9,grey,"pakems mens extreme green camo boot, size - 9",9,"clothing,shoes,men's shoes,all men's shoes"
pakems,usd,65,grey,"pakems mens extreme green camo boot, size - 9",6,"clothing,shoes,men's shoes,all men's shoes"
oakley,usd,50,beige,oakley blade   open toe synthetic  flip flop sandal,6,"clothing,shoes,men's shoes,all men's shoes"
